OBJECTID,ResourceAgencyNum,PublicName,AltName1,AltName2,AltName3,AltName4,AltName5,AltName6,AltName7,AltName8,AltName9,AltName10,AltName11,AltName12,AltName13,AltName14,AltName15,AltName16,AltName17,AltName18,AltName19,AltName20,AltName21,AltName22,AltName23,AltName24,AltName25
11,69794253,Big Brothers Big Sisters of TO - Big Brothers Big Sisters of TO,BBBST,Big Brothers Big Sisters of Canada,Big Couples,CV19,Game On!,Go Girls! Healthy Bodies Healthy Minds,Pumped for Post-Secondary,Rexdale Multiservice Hub,"The Hub, mid-Scarborough",Toronto Big Brothers and Big Sisters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,69816612,Black Youth Helpline - Black Youth Helpline,BYH,CBX2 ,CV19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,69794697,Black Youth Helpline - Stay-in-School Program and Youth Support Services,BYH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,69797651,Blake Boultbee Youth Outreach Service - Blake Boultbee Youth Outreach Service,BBYOS,CV19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,69799043,Boys and Girls Club of East Scarb. - Boys and Girls Club of East Scarb.,CV19,Early Years Centre,EarlyON Child and Family Centre,EYC,OEYC,Ontario Early Years Centre,Stay in School,Toronto Space Inventory Pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,69799032,Boys and Girls Club of East Scarb. - Corvette EarlyON Child and Family Centre,CV19,Good Food Box,Toronto Space Inventory Pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,69799041,Boys and Girls Club of East Scarb. - Galloway EarlyON Child and Family Centre,CV19,EarlyON Child and Family Centre,Galloway Family Resource Centre,Good Food Box,OEYC,Ontario Early Years Centre,Toronto Space Inventory Pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,69799035,Boys and Girls Club of East Scarb. - Mornelle EarlyON Child and Family Centre,CV19,EarlyON Child and Family Centre,Good Food Box,Mornelle Family Resource Centre,OEYC,Ontario Early Years Centre,Toronto Space Inventory Pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,69799038,Boys and Girls Club of East Scarb. - Orchard Park EarlyON Child and Family Centre,CV19,Early Years Centre,EarlyON Child and Family Centre,EYC,OEYC,Ontario Early Years Centres,Toronto Space Inventory Pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,69794278,Braeburn Neighbourhood Place - Braeburn Neighbourhood Place,Braeburn Boys and Girls Club,CV19,Early Years Centre,EarlyON Child and Family Centre,EYC,Neighbourhood Place,OEYC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,69799249,Cabbagetown Community Arts Centre - Cabbagetown Community Arts Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,69794179,Canadian Centre for Men and Families - Canadian Centre for Men and Families,Centre canadien pour les hommes de Toronto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,69801657,Canadian Safe School Network - Canadian Safe School Network,CSSN,Safe School Network,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,69800507,Canadian Tamil Youth Development Centre - Canadian Tamil Youth Development Centre,CanTYD,IMPACT,Medai Konal,Project Empowerment,Project THAMIL,Selvys Circle,Selvy's Circle,Tamil Youth Centre,Tamils Helping and Motivating to Inspire Leadership,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,69977374,Catholic Children's Aid Society of TO - Adoption and Disclosure Services,CAS,Catholic Childrens Aid Society,CCAS,CCAST,"Children's Aid Society of Toronto, Catholic",CV19,Toronto Catholic Children's Aid Society,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,69794577,Catholic Children's Aid Society of TO - Child and Youth Services,CAS,Catholic Childrens Aid Society,CCAS,CCAST,"Children's Aid Society of Toronto, Catholic",CV19,Toronto Catholic Children's Aid Society,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,69794575,Catholic Children's Aid Society of TO - Child Protection Services,CAS,Catholic Childrens Aid Society,CCAS,CCAST,Child Protection Services East Office,Child Protection Services North West Office,Child Protection Services South Office,"Children's Aid Society of Toronto, Catholic",CV19,HT1,Toronto Catholic Children's Aid Society,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,69977602,Catholic Children's Aid Society of TO - Foster Care and KinCare Services,CAS,Catholic Childrens Aid Society,CCAS,CCAST,"Children's Aid Society of Toronto, Catholic",CV19,KinCare,KinCaregiver,Kinship Care,Kinship Caregiver,Toronto Catholic Children's Aid Society,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,69794583,Catholic Children's Aid Society of TO - Head Office,CAS,Catholic Childrens Aid Society,CCAS,CCAST,"Children's Aid Society of Toronto, Catholic",CV19,Hope for Children Foundation,HT1,Toronto Catholic Children's Aid Society,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,69798664,CEE Centre for Young Black Professionals - CEE Centre for Young Black Professionals,"Career, Education and Empowerment Centre for Young Black Professionals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,69801138,Centennial College - Community Employment Services,4000A,Canada-Ontario Job Grant,Centennial College Employment Services,COJG,Employment Ontario,Ontario Employment Services,Second Career,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,69801141,Centennial College - Helping Youth Pursue Education,HYPE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,69794645,Centennial Infant and Child Centre - Centennial Infant and Child Centre,CICC,CV19,Early Intervention Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,73048716,Central TO Youth Services - Central TO Youth Services,CTYS,CV19,New Outlook,Pride and Prejudice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,69800560,"Centre for Addiction and Mental Health - Child, Youth and Emerging Adult Program",CAMH,CV19,SAPACCY,Slaight Family Centre for Youth in Transition,Substance Abuse Program for African Canadian and Caribbean Youth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,69799985,Centre francophone du Grand TO - Mental Health and Child Development Services,CFGT,Coin de la petite enfance,Early Years Corner,Francophone Centre of Toronto,French Community Centre,Here to Help,Ici pour aider,Infant Development Program,Pas à Pas,Passerelle Program,Prenatal Nutrition Program,Toronto Francophone Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,72835332,Child and Family Services Review Board - Child and Family Services Review Board,CV19,CAS Complaints,CFSRB,Child & Family Service Tribunal,Childrens Aid Society Complaints,Children's Aid Society Complaints,Complaints Against a Children's Aid Society,Emergency Secure Treatment Application Review,Refusal to Adopt Review,Removal of Crown Ward Appeal,Review of a Residential Placement,School Board Explusion Appeal,Social Justice Tribunals Ontario,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,69797976,Child Development Institute - EarlyON Child and Family Centre,CDI,CV19,Early Years Centre,EarlyON Child and Family Centre,EYC,OEYC,Ontario Early Years Centres,Parkdale High Park Ontario Early Years Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,72764769,Child Development Institute - Integra Program,Camp Towhee,CV19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,69797967,Child Development Institute - Stop Now And Plan (SNAP),Camp Wimodausis,CDI,CV19,SNAP Boys,SNAP Girls,SNAP Parenting,SNAP Youth Justice,SNAP Youth Outreach,SNAPIT,SNAPP,Toronto Centralized Services Protocol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,69799540,Children's Aid Foundation of Canada - Children's Aid Foundation of Canada,CAFDN,COVID19 Youth Support Fund,COVID-19 Youth Support Fund,CV19,HSBC Youth Opportunity Fund,TELUS Mobility for Good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,69794707,Children's Aid Society of TO - Children's Aid Society of TO,CAS,CAST,Child Welfare Institute,Children's Aid Foundation,Childrens Aid Society,CV19,Homes for Kids,HT1,Toronto Children's Aid Society,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,69794710,Children's Aid Society of TO - North West Branch,CAS,CAST,Childrens Aid Society,CV19,Etobicoke Branch,HT1,Northwest Site,Resources for Children,Toronto Children's Aid Society,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,69794716,Children's Aid Society of TO - Pape Adolescent Resource Centre,CAS,CAST,Childrens Aid Society,CV19,PARC,Toronto Children's Aid Society,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,69794713,Children's Aid Society of TO - Scarb. Branch,CAS,CAST,Childrens Aid Society,CV19,HT1,Toronto Children's Aid Society,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,69798927,Children's Book Bank - Children's Book Bank,Childrens Book Bank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,73082760,Children's Resource and Consultation Centre of ON - Children's Resource and Consultation Centre of ON,CV19,Ontario Children's Resource and Consultation Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,69800912,Christie Ossington Neighbourhood Centre - The Nook Children's Program,"Nook, The",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,70493830,Collège Boréal - ON Employment Services,4118K,Canada-Ontario Job Grant,COJG,College Boreal,Employment Ontario,Second Career,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,69794781,College-Montrose Children's Place - College-Montrose Children's Place,Children's Place,College Montrose Children's Place,CV19,EarlyON Child and Family Centre,EYC,Nurturing Development,OEYC,Ontario Early Years Centre,Trinity-Spadina Ontario Early Years Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,69794784,College-Montrose Children's Place - Gooch Family Resource Program,Children's Place,College Montrose Children's Place,CV19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,69799781,Creating Together Child and Family Centre - Creating Together Child and Family Centre,EarlyON Child and Family Centre,EYC,OEYC,Ontario Early Years Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,69799429,CultureLink Settlement and Community Services - Children and Youth Centre,ARTegration,Culture Link,Mabelle After-School Program,Sankofa Drop-In and Multicultural Club,"Student Educational Attainment Program, SEAP","Youth Online Employment Strategy, YOES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,69795615,Day Care Connection - Family Resource Centre,Daycare Connection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,69794975,Delta Family Resource Centre - Delta Family Resource Centre,CV19,Family Resource Centre,Rexdale Community Hub,Rexdale Multiservice Hub,Wednesday Food Pantry,WEFB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,69799028,Dovercourt Boys and Girls Club - Dovercourt Boys and Girls Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,69799025,Dovercourt Boys and Girls Club - Junction Triangle Clubhouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,69796985,Dr Jay Children's Grief Centre - Dr Jay Children's Grief Centre,covid-19,CV19,DJGC,Doctor Jay's Childrens Grief Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,69799730,East End Children's Centre - Kimbourne EarlyON Child and Family Centre,Baby Time,East End Child Parent Development Centre of Metro Toronto,"Family Math, Literacy and Science",Glitterbug for LGBTQ2+ Families,Kimbourne Park Drop-in Programs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,69799727,East End Children's Centre - Terry Fox EarlyON Child and Family Centre,Early ON Child and Family Centre,EarlyON Child and Family Centre,East End Child Parent Development Centre of Metro Toronto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,69798986,"East York East TO Family Resources Organization - EarlyON Child and Family Centre, Cosburn Site",CV19,Donlands Family Resource Program,Early ON Child and Family Centre,EarlyON Child and Family Centre,East Toronto Family Resources,EYET,EYETFR,Ontario Early Years Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,69798980,"East York East TO Family Resources Organization - EarlyON Child and Family Centre, Danforth Site",AccessPoint on Danforth,Action for Infants (Infant Stimulation Program),BEYOEYC,CV19,EarlyON Child and Family Centre,East Toronto Family Resources,EYC,EYET,EYETFR,OEYC,Ontario Early Years Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,69798983,"East York East TO Family Resources Organization - EarlyON Child and Family Centre, Sackville Site",CV19,EarlyON Child and Family Centre,East Toronto Family Resources,EYC,EYET,EYETFR,OEYC,Ontario Early Years Centre,TCROEYC,Toddler Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,69798975,East York East TO Family Resources Organization - East York East TO Family Resources Organization,East Toronto Family Resources,EYET,EYETFR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,69798978,"East York East TO Family Resources Organization - Healthy Beginnings for Healthy Babies, Danforth Site",AccessPoint on Danforth,CV19,East Toronto Family Resources,EYET,EYETFR,EYHBHB - Danforth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,69798992,"East York East TO Family Resources Organization - Healthy Beginnings for Healthy Babies, Thorncliffe Park Site",East Toronto Family Resources,EYET,EYETFR,EYHBHB - Thorncliffe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,69799745,"Family Day Care Services - EarlyON Child and Family Centre, Don Valley East",CV19,Early Years Centre,EYC,OEYC,Ontario Early Years Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,69799748,"Family Day Care Services - EarlyON Child and Family Centre, Scarb. Centre",CV19,Early Years Centre,EYC,OEYC,Ontario Early Years Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,69799742,Family Day Care Services - Family Day Care Services,CV19,Early Years Centre,EarlyON Child and Family Centre,EYC,Family Daycare Services,OEYC,Ontario Early Years Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,69796186,Family Service ON - Family Service ON,Ontario Family Service,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,69795166,Family Service TO - Family Service TO,CV19,Families in Transition,Family Services,FST,Growing Up Healthy Downtown,Male Survivor Network,Male Survivors Network,Next Steps Program,PAR,Partner Assault Response,PassportOne,Support Services Network for Male Survivors in Ontario,Violence Against Women;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,69800195,Family Supports Institute ON - Family Supports Institute ON,FSIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,69804518,Fernie Youth Services - Fernie Youth Services,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,69800642,For Youth Initiative - For Youth Initiative,CV19,More Life Workshop Series,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,69800640,For Youth Initiative - Youth Settlement Services,CCMP,Community Connection Mentorship Program,Community Connections Mentorship Program,CV19,FYI,HOST Program,Immigrant Settlement Adaptation Program,Immigration Settlement and Adaptation Program,ISAP,Job Search Workshops,JSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,69795192,Foster Parents Association of the Children's Aid Society of TO - Foster Parents Association of the Children's Aid Society of TO,Children's Aid Society of Toronto. Foster Parents Association,FPA,Toronto Foster Parents Association of the Children's Aid Society,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,70563386,Friends of Ruby - Counselling and Support Services,CBX2,CV19,Egale LGBTIQ2S Youth OUTreach Counselling and Drop-in,FRLU,FRSU,THLU,THSU,WELU,WESU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,70563460,Friends of Ruby - LGBTQI2S+ Transitional Housing,Friends of Ruby Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,69795206,Frontier College - Beat the Street,4411B,CV19,GED,LBS,Literacy and Basic Skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,69795227,George Hull Centre for Children and Families - George Hull Centre for Children and Families,CV19,EarlyON Child and Family Centre,EYC,Girls House,Hull Centre for Children and Families,Libbys Place,Libby's Place,OEYC,Ontario Early Years Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,73495329,Good2Talk - Good2Talk,CBX2,Crisis Text Line,Good 2 Talk,Good to Talk,GOOD2TALKON,Ontario Postsecondary Mental Health Helpline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,69800632,Growing Up Healthy Downtown - Growing Up Healthy Downtown,GUHD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,69801716,Harriet Tubman Community Organization - Harriet Tubman Community Organization,HTCO,Tubman Community Organization;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,69800023,Home Child Care Association of ON - Home Child Care Association of ON,HCCAO,Ontario Home Child Care Association,Private Home Day Care Association of Ontario,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,72476020,Horizons for Youth - Horizons for Youth,CBX2,Housing for Youth in the City of York,Horizons4Youth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,69799901,Hospice TO - Young Carers Program,CV19,Toronto Hospice,Young Caregivers Program,Young Carer's Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,69795336,Hospital for Sick Children - Teen Clinic,Eating Disorders Program,Sick Children's Hospital,Sick Kids Hospital,Substance Abuse Day Treatment Program,Substance Abuse Outreach Program,Transgender Youth Clinic,Young Families Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,72776260,Humewood House Association - Humewood House Association,CBX2,CV19,FRFB,MOFB,THFB,TUFB,WEFB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,72776268,Humewood House Association - Young Parent Resource Centre,CBX2,CV19,FRFB,MOFB,THFB,TUFB,WEFB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,71449122,Inner City Angels - Inner City Angels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,69797887,Jake's House for Children with Autism - Jake's House for Children with Autism,Jakes House,Legends Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,69795448,Jane / Finch Community and Family Centre - EarlyON Child and Family Centre,OEYC,Ontario Early Years Centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,69795479,Jessie's -- The June Callwood Centre for Young Women - Jessie's -- The June Callwood Centre for Young Women,CBX2,CV19,Jessie's Non-Profit Homes,Jessies The June Callwood Centre for Young Women,MOLU,Swap Shop,THLU,TULU,Well Baby Clinic,WELU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,69795477,Jessie's -- The June Callwood Centre for Young Women - Respite Care Program,Young Parents No Fixed Address,YPNFA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,69795497,Jewish Family and Child Service - Gordon S Wolfe Downtown Branch,CV19,DTD,Here to Help,Holocaust Survivor Emergency Funding,HT1,Immigration Settlement and Adaptation Program,ISAP,Jewish Hospice Program,JFCS,Multilingual Access Program,Restitution Services for Holocaust Survivors,SEPT,Settlement and Education Partnership in Toronto,Settlement Workers in Schools,SWIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,69795494,Jewish Family and Child Service - Jerome D Diamond Adolescent Centre,CV19,Diamond Adolescent Centre,Jewish Family and Child,JF&CS,JFC,JFCS,Toronto Jewish Family and Child Service,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,69795483,Jewish Family and Child Service - Jewish Family and Child Service (TO),CV19,DTD,Here to Help,HT1,Jewish Family and Child Services,JF&CS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,69795559,John Howard Society of TO - HIPP Youth Program,CV19,Helping Individuals Plan Positively,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,69795562,John Howard Society of TO - STEP Program,CV19,Safer Tomorrows through Education and Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
