OBJECTID,ResourceAgencyNum,PublicName,AlternateName,HdNumNew,HDNAMENEW,Category,MERGE_SRC,HoodName,HoodID
27,69794575,Catholic Children's Aid Society of Toronto - Child Protection Services,"CAS; Catholic Childrens Aid Society; CCAS; CCAST; Child Protection Services East Office; Child Protection Services North West Office; Child Protection Services South Office; Children's Aid Society of Toronto, Catholic; CV19; HT1; Toronto Catholic Children's Aid Society",119,Wexford/Maryvale,"Child Care,Family & Youth","Child Care, Youth & Family",Wexford/Maryvale,119
28,69977602,Catholic Children's Aid Society of Toronto - Foster Care and KinCare Services,"CAS; Catholic Childrens Aid Society; CCAS; CCAST; Children's Aid Society of Toronto, Catholic; CV19; KinCare; KinCaregiver; Kinship Care; Kinship Caregiver; Toronto Catholic Children's Aid Society",119,Wexford/Maryvale,"Child Care,Family & Youth","Child Care, Youth & Family",Wexford/Maryvale,119
29,69794583,Catholic Children's Aid Society of Toronto - Head Office,"CAS; Catholic Childrens Aid Society; CCAS; CCAST; Children's Aid Society of Toronto, Catholic; CV19; Hope for Children Foundation; HT1; Toronto Catholic Children's Aid Society",119,Wexford/Maryvale,"Child Care,Family & Youth","Child Care, Youth & Family",Wexford/Maryvale,119
30,69798664,CEE Centre for Young Black Professionals - CEE Centre for Young Black Professionals,"Career, Education and Empowerment Centre for Young Black Professionals",53,Henry Farm,"Child Care,Family & Youth","Child Care, Youth & Family",Henry Farm,53
31,69801138,Centennial College - Community Employment Services,4000A; Canada-Ontario Job Grant; Centennial College Employment Services; COJG; Employment Ontario; Ontario Employment Services; Second Career,156,Bendale-Glen Andrew,"Child Care,Family & Youth","Child Care, Youth & Family",Bendale,127
32,69801141,Centennial College - Helping Youth Pursue Education,HYPE,142,Woburn North,"Child Care,Family & Youth","Child Care, Youth & Family",Woburn,137
33,69794645,Centennial Infant and Child Centre - Centennial Infant and Child Centre,CICC; CV19; Early Intervention Program,97,Yonge-St.Clair,"Child Care,Family & Youth","Child Care, Youth & Family",Yonge-St.Clair,97
34,73048716,Central Toronto Youth Services - Central Toronto Youth Services,CTYS; CV19; New Outlook; Pride and Prejudice,167,Church-Wellesley,"Child Care,Family & Youth","Child Care, Youth & Family",Church-Yonge Corridor,75
35,69800560,"Centre for Addiction and Mental Health - Child, Youth and Emerging Adult Program",CAMH; CV19; SAPACCY; Slaight Family Centre for Youth in Transition; Substance Abuse Program for African Canadian and Caribbean Youth,162,West Queen West,"Child Care,Family & Youth","Child Care, Youth & Family",Niagara,82
36,69799985,Centre francophone du Grand Toronto - Mental Health and Child Development Services,CFGT; Coin de la petite enfance; Early Years Corner; Francophone Centre of Toronto; French Community Centre; Here to Help; Ici pour aider; Infant Development Program; Pas à Pas; Passerelle Program; Prenatal Nutrition Program; Toronto Francophone Centre,164,Wellington Place,"Child Care,Family & Youth","Child Care, Youth & Family",Waterfront Communities-The Island,77
37,72835332,Child and Family Services Review Board - Child and Family Services Review Board,CV19; CAS Complaints; CFSRB; Child & Family Service Tribunal; Childrens Aid Society Complaints; Children's Aid Society Complaints; Complaints Against a Children's Aid Society; Emergency Secure Treatment Application Review; Refusal to Adopt Review; Removal of Crown Ward Appeal; Review of a Residential Placement; School Board Explusion Appeal; Social Justice Tribunals Ontario,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
38,69797976,Child Development Institute - EarlyON Child and Family Centre,CDI; CV19; Early Years Centre; EarlyON Child and Family Centre; EYC; OEYC; Ontario Early Years Centres; Parkdale High Park Ontario Early Years Centre,90,Junction Area,"Child Care,Family & Youth","Child Care, Youth & Family",Junction Area,90
39,72764769,Child Development Institute - Integra Program,Camp Towhee; CV19,100,Yonge-Eglinton,"Child Care,Family & Youth","Child Care, Youth & Family",Yonge-Eglinton,100
40,69797967,Child Development Institute - Stop Now And Plan (SNAP),Camp Wimodausis; CDI; CV19; SNAP Boys; SNAP Girls; SNAP Parenting; SNAP Youth Justice; SNAP Youth Outreach; SNAPIT; SNAPP; Toronto Centralized Services Protocol,92,Corso Italia-Davenport,"Child Care,Family & Youth","Child Care, Youth & Family",Corso Italia-Davenport,92
41,69799540,Children's Aid Foundation of Canada - Children's Aid Foundation of Canada,CAFDN; COVID19 Youth Support Fund; COVID-19 Youth Support Fund; CV19; HSBC Youth Opportunity Fund; TELUS Mobility for Good,95,Annex,"Child Care,Family & Youth","Child Care, Youth & Family",Annex,95
42,69794707,Children's Aid Society of Toronto - Children's Aid Society of Toronto,CAS; CAST; Child Welfare Institute; Children's Aid Foundation; Childrens Aid Society; CV19; Homes for Kids; HT1; Toronto Children's Aid Society,167,Church-Wellesley,"Child Care,Family & Youth","Child Care, Youth & Family",Church-Yonge Corridor,75
43,69794710,Children's Aid Society of Toronto - North West Branch,CAS; CAST; Childrens Aid Society; CV19; Etobicoke Branch; HT1; Northwest Site; Resources for Children; Toronto Children's Aid Society,27,York University Heights,"Child Care,Family & Youth","Child Care, Youth & Family",York University Heights,27
44,69794716,Children's Aid Society of Toronto - Pape Adolescent Resource Centre,CAS; CAST; Childrens Aid Society; CV19; PARC; Toronto Children's Aid Society,69,Blake-Jones,"Child Care,Family & Youth","Child Care, Youth & Family",Blake-Jones,69
45,69794713,Children's Aid Society of Toronto - Scarborough Branch,CAS; CAST; Childrens Aid Society; CV19; HT1; Toronto Children's Aid Society,125,Ionview,"Child Care,Family & Youth","Child Care, Youth & Family",Ionview,125
46,69798927,Children's Book Bank - Children's Book Bank,Childrens Book Bank,73,Moss Park,"Child Care,Family & Youth","Child Care, Youth & Family",Moss Park,73
47,73082760,Children's Resource and Consultation Centre of Ontario - Children's Resource and Consultation Centre of Ontario,CV19; Ontario Children's Resource and Consultation Centre,38,Lansing-Westgate,"Child Care,Family & Youth","Child Care, Youth & Family",Lansing-Westgate,38
48,69800912,Christie Ossington Neighbourhood Centre - The Nook Children's Program,"Nook, The",95,Annex,"Child Care,Family & Youth","Child Care, Youth & Family",Annex,95
49,70493830,Collège Boréal - Ontario Employment Services,4118K; Canada-Ontario Job Grant; COJG; College Boreal; Employment Ontario; Second Career,166,St Lawrence-East Bayfront-The Islands,"Child Care,Family & Youth","Child Care, Youth & Family",Waterfront Communities-The Island,77
50,69794781,College-Montrose Children's Place - College-Montrose Children's Place,Children's Place; College Montrose Children's Place; CV19; EarlyON Child and Family Centre; EYC; Nurturing Development; OEYC; Ontario Early Years Centre; Trinity-Spadina Ontario Early Years Centre,81,Trinity-Bellwoods,"Child Care,Family & Youth","Child Care, Youth & Family",Trinity-Bellwoods,81
51,69794784,College-Montrose Children's Place - Gooch Family Resource Program,Children's Place; College Montrose Children's Place; CV19,114,Lambton Baby Point,"Child Care,Family & Youth","Child Care, Youth & Family",Lambton Baby Point,114
52,69799781,Creating Together Child and Family Centre - Creating Together Child and Family Centre,EarlyON Child and Family Centre; EYC; OEYC; Ontario Early Years Centre,85,South Parkdale,"Child Care,Family & Youth","Child Care, Youth & Family",South Parkdale,85
53,69799429,CultureLink Settlement and Community Services - Children and Youth Centre,"ARTegration; Culture Link; Mabelle After-School Program; Sankofa Drop-In and Multicultural Club; Student Educational Attainment Program, SEAP; Youth Online Employment Strategy, YOES",89,Runnymede-Bloor West Village,"Child Care,Family & Youth","Child Care, Youth & Family",Runnymede-Bloor West Village,89
54,69795615,Day Care Connection - Family Resource Centre,Daycare Connection,62,East End-Danforth,"Child Care,Family & Youth","Child Care, Youth & Family",East End-Danforth,62
55,69794975,Delta Family Resource Centre - Delta Family Resource Centre,CV19; Family Resource Centre; Rexdale Community Hub; Rexdale Multiservice Hub; Wednesday Food Pantry; WEFB,4,Rexdale-Kipling,"Child Care,Family & Youth","Child Care, Youth & Family",Rexdale-Kipling,4
56,69799028,Dovercourt Boys and Girls Club - Dovercourt Boys and Girls Club,,172,Dovercourt Village,"Child Care,Family & Youth","Child Care, Youth & Family",Dovercourt-Wallace Emerson-Junction,93
57,69799025,Dovercourt Boys and Girls Club - Junction Triangle Clubhouse,,83,Dufferin Grove,"Child Care,Family & Youth","Child Care, Youth & Family",Dufferin Grove,83
58,69796985,Dr Jay Children's Grief Centre - Dr Jay Children's Grief Centre,covid-19; CV19; DJGC; Doctor Jay's Childrens Grief Center,99,Mount Pleasant East,"Child Care,Family & Youth","Child Care, Youth & Family",Mount Pleasant East,99
59,69799730,East End Children's Centre - Kimbourne EarlyON Child and Family Centre,"Baby Time; East End Child Parent Development Centre of Metro Toronto; Family Math, Literacy and Science; Glitterbug for LGBTQ2+ Families; Kimbourne Park Drop-in Programs",66,Danforth,"Child Care,Family & Youth","Child Care, Youth & Family",Danforth,66
60,69799727,East End Children's Centre - Terry Fox EarlyON Child and Family Centre,Early ON Child and Family Centre; EarlyON Child and Family Centre; East End Child Parent Development Centre of Metro Toronto,60,Woodbine-Lumsden,"Child Care,Family & Youth","Child Care, Youth & Family",Woodbine-Lumsden,60
61,69798986,"East York East Toronto Family Resources Organization - EarlyON Child and Family Centre, Cosburn Site",CV19; Donlands Family Resource Program; Early ON Child and Family Centre; EarlyON Child and Family Centre; East Toronto Family Resources; EYET; EYETFR; Ontario Early Years Centre,58,Old East York,"Child Care,Family & Youth","Child Care, Youth & Family",Old East York,58
62,69798980,"East York East Toronto Family Resources Organization - EarlyON Child and Family Centre, Danforth Site",AccessPoint on Danforth; Action for Infants (Infant Stimulation Program); BEYOEYC; CV19; EarlyON Child and Family Centre; East Toronto Family Resources; EYC; EYET; EYETFR; OEYC; Ontario Early Years Centre,121,Oakridge,"Child Care,Family & Youth","Child Care, Youth & Family",Oakridge,121
63,69798983,"East York East Toronto Family Resources Organization - EarlyON Child and Family Centre, Sackville Site",CV19; EarlyON Child and Family Centre; East Toronto Family Resources; EYC; EYET; EYETFR; OEYC; Ontario Early Years Centre; TCROEYC; Toddler Time,73,Moss Park,"Child Care,Family & Youth","Child Care, Youth & Family",Moss Park,73
64,69798975,East York East Toronto Family Resources Organization - East York East Toronto Family Resources Organization,East Toronto Family Resources; EYET; EYETFR,70,South Riverdale,"Child Care,Family & Youth","Child Care, Youth & Family",South Riverdale,70
65,69798978,"East York East Toronto Family Resources Organization - Healthy Beginnings for Healthy Babies, Danforth Site",AccessPoint on Danforth; CV19; East Toronto Family Resources; EYET; EYETFR; EYHBHB - Danforth,121,Oakridge,"Child Care,Family & Youth","Child Care, Youth & Family",Oakridge,121
66,69798992,"East York East Toronto Family Resources Organization - Healthy Beginnings for Healthy Babies, Thorncliffe Park Site",East Toronto Family Resources; EYET; EYETFR; EYHBHB - Thorncliffe,55,Thorncliffe Park,"Child Care,Family & Youth","Child Care, Youth & Family",Thorncliffe Park,55
67,69799745,"Family Day Care Services - EarlyON Child and Family Centre, Don Valley East",CV19; Early Years Centre; EYC; OEYC; Ontario Early Years Centre,53,Henry Farm,"Child Care,Family & Youth","Child Care, Youth & Family",Henry Farm,53
68,69799748,"Family Day Care Services - EarlyON Child and Family Centre, Scarborough Centre",CV19; Early Years Centre; EYC; OEYC; Ontario Early Years Centre,142,Woburn North,"Child Care,Family & Youth","Child Care, Youth & Family",Woburn,137
69,69799742,Family Day Care Services - Family Day Care Services,CV19; Early Years Centre; EarlyON Child and Family Centre; EYC; Family Daycare Services; OEYC; Ontario Early Years Centre,48,Hillcrest Village,"Child Care,Family & Youth","Child Care, Youth & Family",Hillcrest Village,48
70,69796186,Family Service Ontario - Family Service Ontario,Ontario Family Service,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
71,69795166,Family Service Toronto - Family Service Toronto,CV19; Families in Transition; Family Services; FST; Growing Up Healthy Downtown; Male Survivor Network; Male Survivors Network; Next Steps Program; PAR; Partner Assault Response; PassportOne; Support Services Network for Male Survivors in Ontario; Violence Against Women; ,168,Ryerson,"Child Care,Family & Youth","Child Care, Youth & Family",Church-Yonge Corridor,75
72,69800195,Family Supports Institute Ontario - Family Supports Institute Ontario,FSIO,81,Trinity-Bellwoods,"Child Care,Family & Youth","Child Care, Youth & Family",Trinity-Bellwoods,81
73,69804518,Fernie Youth Services - Fernie Youth Services,,143,West Rouge,"Child Care,Family & Youth","Child Care, Youth & Family",Rouge,131
74,69800642,For Youth Initiative - For Youth Initiative,CV19; More Life Workshop Series,110,Keelesdale-Eglinton West,"Child Care,Family & Youth","Child Care, Youth & Family",Keelesdale-Eglinton West,110
75,69800640,For Youth Initiative - Youth Settlement Services,CCMP; Community Connection Mentorship Program; Community Connections Mentorship Program; CV19; FYI; HOST Program; Immigrant Settlement Adaptation Program; Immigration Settlement and Adaptation Program; ISAP; Job Search Workshops; JSW,110,Keelesdale-Eglinton West,"Child Care,Family & Youth","Child Care, Youth & Family",Keelesdale-Eglinton West,110
76,69795192,Foster Parents Association of the Children's Aid Society of Toronto - Foster Parents Association of the Children's Aid Society of Toronto,Children's Aid Society of Toronto. Foster Parents Association; FPA; Toronto Foster Parents Association of the Children's Aid Society,27,York University Heights,"Child Care,Family & Youth","Child Care, Youth & Family",York University Heights,27
77,70563386,Friends of Ruby - Counselling and Support Services,CBX2; CV19; Egale LGBTIQ2S Youth OUTreach Counselling and Drop-in; FRLU; FRSU; THLU; THSU; WELU; WESU,73,Moss Park,"Child Care,Family & Youth","Child Care, Youth & Family",Moss Park,73
78,70563460,Friends of Ruby - LGBTQI2S+ Transitional Housing,Friends of Ruby Home,73,Moss Park,"Child Care,Family & Youth","Child Care, Youth & Family",Moss Park,73
79,69795206,Frontier College - Beat the Street,4411B; CV19; GED; LBS; Literacy and Basic Skills,98,Rosedale-Moore Park,"Child Care,Family & Youth","Child Care, Youth & Family",Rosedale-Moore Park,98
80,69795227,George Hull Centre for Children and Families - George Hull Centre for Children and Families,CV19; EarlyON Child and Family Centre; EYC; Girls House; Hull Centre for Children and Families; Libbys Place; Libby's Place; OEYC; Ontario Early Years Centre,159,Etobicoke City Centre,"Child Care,Family & Youth","Child Care, Youth & Family",Islington-City Centre West,14
81,73495329,Good2Talk - Good2Talk,CBX2; Crisis Text Line; Good 2 Talk; Good to Talk; GOOD2TALKON; Ontario Postsecondary Mental Health Helpline,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
82,69800632,Growing Up Healthy Downtown - Growing Up Healthy Downtown,GUHD,83,Dufferin Grove,"Child Care,Family & Youth","Child Care, Youth & Family",Dufferin Grove,83
83,69801716,Harriet Tubman Community Organization - Harriet Tubman Community Organization,HTCO; Tubman Community Organization; ,53,Henry Farm,"Child Care,Family & Youth","Child Care, Youth & Family",Henry Farm,53
84,69800023,Home Child Care Association of Ontario - Home Child Care Association of Ontario,HCCAO; Ontario Home Child Care Association; Private Home Day Care Association of Ontario,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
85,72476020,Horizons for Youth - Horizons for Youth,CBX2; Housing for Youth in the City of York; Horizons4Youth,109,Caledonia-Fairbank,"Child Care,Family & Youth","Child Care, Youth & Family",Caledonia-Fairbank,109
86,69799901,Hospice Toronto - Young Carers Program,CV19; Toronto Hospice; Young Caregivers Program; Young Carer's Program,174,South Eglinton-Davisville,"Child Care,Family & Youth","Child Care, Youth & Family",Mount Pleasant West,104
87,69795336,Hospital for Sick Children - Teen Clinic,Eating Disorders Program; Sick Children's Hospital; Sick Kids Hospital; Substance Abuse Day Treatment Program; Substance Abuse Outreach Program; Transgender Youth Clinic; Young Families Program,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
88,72776260,Humewood House Association - Humewood House Association,CBX2; CV19; FRFB; MOFB; THFB; TUFB; WEFB,106,Humewood-Cedarvale,"Child Care,Family & Youth","Child Care, Youth & Family",Humewood-Cedarvale,106
89,72776268,Humewood House Association - Young Parent Resource Centre,CBX2; CV19; FRFB; MOFB; THFB; TUFB; WEFB,25,Glenfield-Jane Heights,"Child Care,Family & Youth","Child Care, Youth & Family",Glenfield-Jane Heights,25
90,71449122,Inner City Angels - Inner City Angels,,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
91,69797887,Jake's House for Children with Autism - Jake's House for Children with Autism,Jakes House; Legends Program,159,Etobicoke City Centre,"Child Care,Family & Youth","Child Care, Youth & Family",Islington-City Centre West,14
92,69795448,Jane / Finch Community and Family Centre - EarlyON Child and Family Centre,OEYC; Ontario Early Years Centres,25,Glenfield-Jane Heights,"Child Care,Family & Youth","Child Care, Youth & Family",Glenfield-Jane Heights,25
93,69795479,Jessie's -- The June Callwood Centre for Young Women - Jessie's -- The June Callwood Centre for Young Women,CBX2; CV19; Jessie's Non-Profit Homes; Jessies The June Callwood Centre for Young Women; MOLU; Swap Shop; THLU; TULU; Well Baby Clinic; WELU,72,Regent Park,"Child Care,Family & Youth","Child Care, Youth & Family",Regent Park,72
94,69795477,Jessie's -- The June Callwood Centre for Young Women - Respite Care Program,Young Parents No Fixed Address; YPNFA,72,Regent Park,"Child Care,Family & Youth","Child Care, Youth & Family",Regent Park,72
95,69795497,Jewish Family and Child Service - Gordon S Wolfe Downtown Branch,CV19; DTD; Here to Help; Holocaust Survivor Emergency Funding; HT1; Immigration Settlement and Adaptation Program; ISAP; Jewish Hospice Program; JFCS; Multilingual Access Program; Restitution Services for Holocaust Survivors; SEPT; Settlement and Education Partnership in Toronto; Settlement Workers in Schools; SWIS,74,North St.James Town,"Child Care,Family & Youth","Child Care, Youth & Family",North St.James Town,74
96,69795494,Jewish Family and Child Service - Jerome D Diamond Adolescent Centre,CV19; Diamond Adolescent Centre; Jewish Family and Child; JF&CS; JFC; JFCS; Toronto Jewish Family and Child Service,99,Mount Pleasant East,"Child Care,Family & Youth","Child Care, Youth & Family",Mount Pleasant East,99
97,69795483,Jewish Family and Child Service - Jewish Family and Child Service (Toronto),CV19; DTD; Here to Help; HT1; Jewish Family and Child Services; JF&CS,35,Westminster-Branson,"Child Care,Family & Youth","Child Care, Youth & Family",Westminster-Branson,35
98,69795559,John Howard Society of Toronto - HIPP Youth Program,CV19; Helping Individuals Plan Positively,107,Oakwood Village,"Child Care,Family & Youth","Child Care, Youth & Family",Oakwood Village,107
99,69795562,John Howard Society of Toronto - STEP Program,CV19; Safer Tomorrows through Education and Play,107,Oakwood Village,"Child Care,Family & Youth","Child Care, Youth & Family",Oakwood Village,107
100,69801680,Junior Achievement of Central Ontario - Junior Achievement of Central Ontario,Central Ontario Junior Achievement; covid-19; CV19; JA Canada; JA Central Ontario,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
101,71449085,Justice for Children and Youth - Justice for Children and Youth,"Canadian Foundation for Children, Youth and the Law; CV19; Foundation for Children, Youth and the Law; JFCY; Street Youth Legal Services; SYLS",170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
102,69795606,Kennedy House - Day Treatment Program,Galloway Program,126,Dorset Park,"Child Care,Family & Youth","Child Care, Youth & Family",Dorset Park,126
103,69795600,Kennedy House - Kennedy House,Galloway Program,146,Malvern East,"Child Care,Family & Youth","Child Care, Youth & Family",Malvern,132
104,70666933,Kids Help Phone - Kids Help Phone,CBX2; COVID19 Mental Health Support Strategy; CV19 ; Resources Around Me,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
105,72883674,Kids Now - Kids Now,Kids Now Canada; Kids.Now,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
106,72765513,Lesbian Gay Bi Trans YouthLine - Lesbian Gay Bi Trans YouthLine,CV19; CBX2; 2SLGBTQ Youth Peer Support HelpLine; Bi Youth Line; COVID19 Mental Health Support Strategy; Gay Youth Line; Lesbian Gay Youth Line; Trans Youth Line; Youth Line,170,Yonge-Bay Corridor,"Child Care,Family & Youth","Child Care, Youth & Family",Bay Street Corridor,76
107,69801601,LOFT Community Services - Ingles Housing and Support Services,CV19; Ingles House; Leap of Faith Together,168,Ryerson,"Child Care,Family & Youth","Child Care, Youth & Family",Church-Yonge Corridor,75
108,69801551,LOFT Community Services - Transitional Age Youth Program,CV19; Leap of Faith Together; TAY Program,80,Palmerston-Little Italy,"Child Care,Family & Youth","Child Care, Youth & Family",Palmerston-Little Italy,80
109,69799614,Lumenus Community Services - Adventure Place Child and Family Centre,BB Now; Better Beginnings Now; CV19; Day Treatment Section 23 Program; Early Years Centre; EarlyON Child and Family Centre; EYC; OEYC; Ontario Early Years Centre; Willowdale EarlyON Child and Family Centre,48,Hillcrest Village,"Child Care,Family & Youth","Child Care, Youth & Family",Hillcrest Village,48
110,69799631,Lumenus Community Services - Doorways Mental Health and Substance Use Services,CV19; Doorway for Transition Age Youth; Doorways for Transition Age Youth; DTAY,27,York University Heights,"Child Care,Family & Youth","Child Care, Youth & Family",York University Heights,27
